wnum_cm-1,wavelength_um,freq_Hz,freq_GHz,n,k,R,D
30.0,413.567,899377374000.0,899.377374,0.856,0.262,0.02543988979273521,0.9745601102072647
29.0,427.828,869398128200.0,869.3981282,0.849,0.302,0.032480010712235455,0.9675199892877645
28.0,443.107,839418882400.0,839.4188824,0.862,0.346,0.038686725624240255,0.9613132743757598
27.0,459.519,809439636600.0,809.4396366,0.884,0.382,0.04312952930415817,0.9568704706958419
26.0,477.192,779460390800.0,779.4603908,0.921,0.403,0.04377506391704411,0.9562249360829559
25.0,496.28,749481145000.0,749.481145,0.96,0.396,0.039619689397001216,0.9603803106029988
24.0,516.959,719501899200.0,719.5018992,0.961,0.373,0.03529795590578847,0.9647020440942116
23.0,539.435,689522653400.0,689.5226534,0.943,0.366,0.035097929118580375,0.9649020708814197
22.0,563.955,659543407600.0,659.5434076,0.917,0.381,0.03980314393790658,0.9601968560620934
21.0,590.81,629564161800.0,629.5641618,0.897,0.411,0.04765190987198509,0.9523480901280149
20.0,620.35,599584916000.0,599.584916,0.882,0.455,0.05893625120000298,0.941063748799997
19.0,653.0,569605670200.0,569.6056702,0.883,0.507,0.07119554384235781,0.9288044561576422
18.0,689.278,539626424400.0,539.6264244,0.89,0.561,0.08408439699178327,0.9159156030082167
17.0,729.824,509647178600.0,509.6471786,0.913,0.62,0.09692680631330258,0.9030731936866974
16.0,775.438,479667932800.0,479.6679328,0.954,0.673,0.10654184163360492,0.8934581583663951
15.5,800.452,464678309900.0,464.6783099,0.981,0.695,0.10967634783973994,0.8903236521602601
15.0,827.134,449688687000.0,449.688687,1.01,0.707,0.1101221621652578,0.8898778378347422
14.5,855.655,434699064100.0,434.6990641,1.03,0.717,0.11110900155318595,0.8888909984468141
14.0,886.215,419709441200.0,419.7094412,1.06,0.724,0.11069647567335379,0.8893035243266462
13.0,954.385,389730195400.0,389.7301954,1.08,0.724,0.10938412262791056,0.8906158773720895
12.0,1033.917,359750949600.0,359.7509496,1.09,0.731,0.11065075275458593,0.8893492472454141
11.0,1127.909,329771703800.0,329.7717038,1.07,0.754,0.11814688870684069,0.8818531112931594
10.0,1240.7,299792458000.0,299.792458,1.04,0.818,0.1388454401452039,0.861154559854796
9.5,1306.0,284802835100.0,284.8028351,1.03,0.867,0.15445361798419688,0.8455463820158031
9.0,1378.556,269813212200.0,269.8132122,1.03,0.921,0.17088285480327484,0.8291171451967252
8.5,1459.648,254823589300.0,254.8235893,1.03,0.979,0.18887115474231794,0.811128845257682
8.0,1550.876,239833966400.0,239.8339664,1.03,1.03,0.20490949091049437,0.7950905090895056
7.5,1654.267,224844343500.0,224.8443435,1.01,1.09,0.22726751080677868,0.7727324891932214
7.0,1772.429,209854720600.0,209.8547206,0.972,1.2,0.2703776321201985,0.7296223678798015
6.5,1908.77,194865097700.0,194.8650977,0.958,1.37,0.3289747041675014,0.6710252958324986
