Freq,Ephi,IWavePhi,IWaveTheta,OutgoingPower,IngoingPower,X,Y,Z,Ex_real,Ey_real,Ez_real,Ex_imag,Ey_imag,Ez_imag
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.1999999999999997e-05,-2.5748543813359844e-20,-7.260042394657374e-22,-7.065804654899713e-20,4.410902866298514e-22,6.159582197185007e-20,1.41781949538292e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.2999999999999994e-05,-2.861834492745347e-20,-9.843398641285655e-22,-7.183973529760053e-20,-1.5512557380061911e-22,6.261956730453897e-20,1.3659711543140127e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.3999999999999998e-05,-3.159954436918514e-20,-1.2731116843873979e-21,-7.298808035428458e-20,-7.5389998940490975e-22,6.36036707571957e-20,1.3128747989679495e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.4999999999999995e-05,-3.4692142138554814e-20,-1.592319700242233e-21,-7.410308171904927e-20,-1.3552329601830092e-21,6.45481323298203e-20,1.2585304293447328e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.6e-05,-3.7896138235562515e-20,-1.9419639116930717e-21,-7.518473939189458e-20,-1.959124486134925e-21,6.545295202241274e-20,1.2029380454443596e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.6999999999999996e-05,-4.121153266020817e-20,-2.3220443187399063e-21,-7.623305337282047e-20,-2.5655745672606473e-21,6.631812983497297e-20,1.1460976472668319e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.7999999999999994e-05,-4.4638325412491883e-20,-2.732560921382747e-21,-7.724802366182703e-20,-3.1745832035601844e-21,6.714366576750107e-20,1.0880092348121495e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.8999999999999998e-05,-4.8176516492413604e-20,-3.173513719621591e-21,-7.82296502589142e-20,-3.786150395033538e-21,6.792955981999699e-20,1.028672808080311e-20
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,1.9999999999999995e-05,-5.1826105899973335e-20,-3.644902713456436e-21,-7.917793316408202e-20,-4.400276141680702e-21,6.867581199246078e-20,9.680883670713185e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,2.1e-05,-5.55870936351711e-20,-4.146727902887285e-21,-8.009287237733046e-20,-5.0169604435016824e-21,6.938242228489238e-20,9.062559117851704e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,2.1999999999999996e-05,-5.945947969800685e-20,-4.678989287914135e-21,-8.097446789865953e-20,-5.636203300496473e-21,7.004939069729184e-20,8.431754422218676e-21
500GHz,0,0.0,0.0,1.99753370262582e-44,6.636046824471356e-10,0.0,-0.005,2.3e-05,-6.344326408848066e-20,-5.241686868536991e-21,-8.182271972806925e-20,-6.2580047126650825e-21,7.067671722965914e-20,7.788469583814094e-21
